Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.20145534604253E-18,-1.38244662670018E-17,0.0227176528069366,0,0,0,0.558787611019616,0.000389103015670694,-5.12225850354026E-19,-1.521049054889E-20,0.0022209092656707,-4.42660169786293E-21,0.00255301401180441,0,0,0,0,0,0,package://hexapod/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod/meshes/base_link.STL,,Part2-1;Part5-4;Part5-1;Part5-3;Part5-6;Part5-5;Part5-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rf1_Link,-0.000801354318491834,0.0105128667638348,0,0,0,0,0.00490044257124357,2.78904980779558E-07,-2.01402307191712E-09,-8.74038380890282E-23,2.74337420831994E-07,6.94954202680523E-25,3.41986869471007E-07,0,0,0,0,0,0,package://hexapod/meshes/rf1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod/meshes/rf1_Link.STL,,Part5 - Copy-4,Origin_rf1_joint,Axis_rf1_joint,rf1_joint,revolute,0.0784707061381557,-0.0296916185387617,0.055,1.5707963267949,0,0,base_link,0,1,0,0,10,0,0,,,,,,,,
rf2_Link,0.000328769051092789,0.0089941765653241,-0.0443120771823383,0,0,0,0.0119691777532889,4.41875479028849E-06,-1.43654444306221E-09,2.95096244084679E-08,4.27723331847433E-06,1.93617938295013E-07,4.41570451299138E-07,0,0,0,0,0,0,package://hexapod/meshes/rf2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod/meshes/rf2_Link.STL,,Part7-5;foot-servo-4,Origin_rf2_joint,Axis_rf2_joint,rf2_joint,revolute,0,0.01,0,3.14159265358979,-0.00741924340161995,1.5707963267949,rf1_Link,0,1,0,0,10,0,0,,,,,,,,
rf3_Link,-8.47894252503645E-07,0.0135354903200816,-0.025481959853987,0,0,0,0.00636179146971272,3.03427546578837E-06,2.11922824818498E-14,-1.84379723565689E-13,2.9485405148425E-06,2.41909286224138E-07,1.65256738841228E-07,0,0,0,0,0,0,package://hexapod/meshes/rf3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod/meshes/rf3_Link.STL,,feet-4,Origin_rf3_joint,Axis_rf3_joint,rf3_joint,revolute,0,0,-0.065,0,-1.56532623433024,3.14159265358979,rf2_Link,0,1,0,0,10,0,0,,,,,,,,
rm1_Link,-0.000801354318491831,0.0105128667638348,0,0,0,0,0.00490044257124357,2.78904980779558E-07,-2.0140230719171E-09,-1.12629119011893E-23,2.74337420831993E-07,3.9017611557146E-24,3.41986869471007E-07,0,0,0,0,0,0,package://hexapod/meshes/rm1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod/meshes/rm1_Link.STL,,Part5 - Copy-6,Origin_rm1_joint,Axis_rm1_joint,rm1_joint,revolute,0,-0.035,0.055,1.5707963267949,0,0,base_link,0,1,0,0,10,0,0,,,,,,,,
rm2_Link,0.000819432470825547,0.0089941765653241,-0.044305719763121,0,0,0,0.0119691777532889,4.41761360942237E-06,-3.58045747364913E-09,7.35404807416639E-08,4.27723331847435E-06,1.9359015990961E-07,4.42711632165276E-07,0,0,0,0,0,0,package://hexapod/meshes/rm2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod/meshes/rm2_Link.STL,,Part7-6;foot-servo-6,Origin_rm2_joint,Axis_rm2_joint,rm2_joint,revolute,0,0.01,0,3.14159265358979,-0.0184928295817374,1.5707963267949,rm1_Link,0,1,0,0,10,0,0,,,,,,,,
rm3_Link,-3.8450807626586E-05,0.013535490315758,-0.0247628068884473,0,0,0,0.00636179156645725,3.03427550910364E-06,1.24988919508864E-14,-1.50012267511426E-13,2.94854055772639E-06,2.41909291361396E-07,1.6525673984922E-07,0,0,0,0,0,0,package://hexapod/meshes/rm3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod/meshes/rm3_Link.STL,,feet-6,Origin_rm3_joint,Axis_rm3_joint,rm3_joint,revolute,0,0,-0.065,0,-1.52955519083945,3.14159265358979,rm2_Link,0,1,0,0,10,0,0,,,,,,,,
rb1_Link,-0.000801354318492251,0.0105128667638348,-1.12063136548102E-15,0,0,0,0.00490044257124357,2.78904980779558E-07,-2.0140230719171E-09,-2.54719402989727E-24,2.74337420831993E-07,-5.64206701275276E-24,3.41986869471006E-07,0,0,0,0,0,0,package://hexapod/meshes/rb1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod/meshes/rb1_Link.STL,,Part5 - Copy-5,Origin_rb1_joint,Axis_rb1_joint,rb1_joint,revolute,-0.0784707061381557,-0.0296916185387617,0.055,1.5707963267949,0,0,base_link,0,1,0,0,10,0,0,,,,,,,,
rb2_Link,0.000367377119521943,0.00899417656532391,-0.0443117739134239,0,0,0,0.0119691777532889,4.41870034887128E-06,-1.60523918918751E-09,3.2974816464094E-08,4.27723331847434E-06,1.93616613173341E-07,4.41624892716369E-07,0,0,0,0,0,0,package://hexapod/meshes/rb2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod/meshes/rb2_Link.STL,,Part7-4;foot-servo-5,Origin_rb2_joint,Axis_rb2_joint,rb2_joint,revolute,0,0.01,0,3.14159265358979,-0.00829052275834918,1.5707963267949,rb1_Link,0,1,0,0,10,0,0,,,,,,,,
rb3_Link,-2.58287458214518E-05,0.0135354903114685,-0.0254259451202542,0,0,0,0.00636179166584072,3.03427555339794E-06,5.61729355748622E-15,-1.22833830874616E-13,2.9485406016922E-06,2.41909296620173E-07,1.65256740981015E-07,0,0,0,0,0,0,package://hexapod/meshes/rb3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod/meshes/rb3_Link.STL,,feet-5,Origin_rb3_joint,Axis_rb3_joint,rb3_joint,revolute,0,0,-0.065,0,-1.51870135423192,3.14159265358979,rb2_Link,0,1,0,0,10,0,0,,,,,,,,
